studentIds,enrolled_courses__-,enrolled_courses
86ed5c2e8333d00364b244795a32c83d,,null
d659108e88c11114dfccb96aa8225988,,null
c883aca5dc77e2bca2042203cf6d4a47,,null
2690bafe9e454371651f3e6816779068,2a7827b773a20bd7185a13af239b420d,
b29bbc7d94cc0ee2cf9b3ad381c7c17a,,null
6e27ce53a0f7a9c8e090e675e838073e,,3be3836fb1453491f7b7db1b2712e8db
,,c64ca44849ae86093254a01b5748466f
01ceb3a7abd5a779a1e5402d3e92ffba,c64ca44849ae86093254a01b5748466f,
b12bad50096c6f9ba3cd3f0df1add28c,c64ca44849ae86093254a01b5748466f,
1e5e55b5ebbf83caa2274e698a686d95,c64ca44849ae86093254a01b5748466f,
c5db4dbd99d0d75ae98ab1e5c20f4980,c64ca44849ae86093254a01b5748466f,
ead25aedfa2ba21770f3da15b8b9b002,c64ca44849ae86093254a01b5748466f,
7a2cd2b532ca138af5b6df902c49db2f,c64ca44849ae86093254a01b5748466f,
fd00ae274371d13e12d34240cc441c00,c64ca44849ae86093254a01b5748466f,
353d7ed87613333702f4d29244ed8aec,c64ca44849ae86093254a01b5748466f,
9f660db36d1cb0a00a9b600d5b61bc62,c64ca44849ae86093254a01b5748466f,
3fe279f521fb33ad76a69d10a71ce945,,null
b1e0d34972a3e33b9065cc4f8c852110,c64ca44849ae86093254a01b5748466f,
384f66429218fe2e6745a03483538991,,e2e15f7b9ea0df0fbab2d5c6929a894e
,,c64ca44849ae86093254a01b5748466f
f091e81050dacb0fe60157efb1f92ea2,,null
20255c5121e92e21889301095489be4f,,null
051cb9523459b704c94bb6d240b6fc3a,,null
4a31c77c871d26b3f15bac124f45a3e1,,null
55b0eba06372ab59554393044559cb4b,,null
ebcbadca32cec6f47469ba060e50b321,,null
b5c00e409c885c2b74ae27f515fe9c60,,null
64261b39ccba5e6d3816ca7df6fcee3a,,null
da12f3388201feb01a952f8fec90b30f,,null
acc0443ee17e13b8f4f00de26db06d79,,null
5ee4d5c8ce8c68cf1314cf9541205efa,,null
9ce54dd960b4a857c5d8930059afde12,,null
9cc77e89d4fe5834cfc97e7e5c0909c9,,null
246a11fcf38bd73a56757f7a66970647,,null
aaf2e39a4a031347eacdacc6878546eb,,null
a1982601d4c11dfbc3719ceebd405ea6,,null
8e28534832a857c0278b2a144208938e,,null
6f6e407cc9e72624cbed0731d978702e,,null
87570fcd0362c3a6aca774504be92c5e,,null
1a0d1eabc5e30ff30d12a10fab7e46c0,,null
f3f2e801b6eddd5b0f387cd592f92851,,null
ca2fe780ef61e21da3c8ddca77a037b6,,null
b723ced7f35fe65ea28145f52851dbe8,,null
acb1a1ebb22565dae53ff642d14d41d0,,null
77f6162a7026e58cb283e0614df2bab5,,null
d4f5d3c5dd3b5b1a022c31d49f2efd20,,null
6d796849c84b57d718b6f52b56a2015d,,null
780f1f4ea8d6866fec8e3ee2c07fad5b,,null
56b5d8ec2253235cbce0f74aa9c3a3a5,,null
4a448c3ed1c8f0fac97d9cb4e118cfad,,null
14dd4b32a25ccc754916d55a85de0a36,,null
c397228bf9b8da3eb8e06f2b9e1619e9,,null
ef5fbe50b830eef33c952fc6afe37e6c,,null
cce98457144e449fbc08899532a345ad,,fd26d46f7361002216d3a40fb3504060
,,5544c179fd0d221600cc0a041c16b03d
,,8bc5f8c1f75ea5d0f7665b5775c6876a
,,ef9d7813d12149b672b574cb59a562ed
,,0db2e72c48b89cdaa961666fcc20d5d8
,,5b24830cb5931da3c539ccc6613d3822
,,c64ca44849ae86093254a01b5748466f
,,291f1a82bd52d4ce5147d6b2d5d19590
ddf7a234c93865533f1b2dd89b9da5fa,,null
41d66c5f6a2c086471d815da832e39dd,,null
6cd18004dd9afe3fa492eeb1922e40f6,,null
b4acfaae29d334dcdcfa9cf38964d61f,,null
4b1ad3b524209df46f361ef7ee2a0a7c,,c64ca44849ae86093254a01b5748466f
,,291f1a82bd52d4ce5147d6b2d5d19590
aa94dc03002cac8bc45aaacf93a58d02,,null
7c3ea17ff5419adbb5b1b432b2eead63,,null
7b71766001181cdeedc934a7c6e9aa81,,null
bd140a407830733d1ffcb38fac3b2198,,null
da6efc32bedd407841b3a8396644b7e0,,null
5555536a62da8237473d492d0ad24896,,null
6d65d9adf074648edc6b030ee9d74f45,,null
0aee6a726cbd16f6d0104dc1fbdd0300,,null
83615186f4f921665a51380903c71955,,null
82ca553b6054b9515fae3924fc81de19,,null
50e9d15b53647832897497457fbaf045,,null
b80d640c74835fc561ffbb9525ea6b6c,,null
17380e0da8cfdb227cfcc1323dd82cf4,,null
83213974a7df5132b2fbebe736ef6b3b,,null
d4799c75ccf70cbda2d17921d7bdd33f,,null
4cb984460ca3da52087c6999ae67da6f,,null
aee7b4c0bf6479072ee17e16bf0be2c2,,null
9f203e02179ca4683f9f45fb64dd2e7a,,null
a843c2415e9e86cc26df4ecb2615227f,,null
03eee4f930fbc7b1062d1621d253d1fa,,null
ef6d76bc20340e22b4f02db6dfbb6e0a,,null
69a142579461a057eee247e2dd71c1b7,,null
93d1c9811f8e899ac7918c3e9a0ab4a8,,null
8f0538cac55b2aebaa743583f092a8fb,,null
bc9c4be093e89a2b15ebde0902115ce1,,null
cf18d96e40376c08b26e26b423ab2feb,,null
cc3ed8f3a16dc29fc5edd309e27a1d6b,,null
f15cc9a0d3ac29eace2dd1f9e59ee6ed,,null
7d022d20531db46400c5f699faddc1fc,,null
62f425089a2e6f5692b11f61d889854a,,null
7d0f26dea700f77ac4a51e4de639932d,,null
df49bca4b935863451b595822c40a072,,null
ac6ad7b333afaf7a4133715a07c9832f,,null
ac55b3664de0e1a8b5df8e0a5fddcf59,,null
8c73bcef20df15dfc2688ec385fe2e06,,null
1734237e15ce83fb7c52d34ac9c71af4,,null
61c707d4bf3c8e9e07d3b223c1bbdff1,,null
